id,Beer_Name,Brew_Factory_Name,Style,ABV
0,Great Lakes Nosferatu,Great Lakes Brewing &#40; Ohio &#41;,American Strong Ale,8
1,4 Hands Reprise Centennial Red Ale,4 Hands Brewing Company,Amber Ale,6
2,10 Barrel Backdraft IPA,10 Barrel Brewing &#40; AB InBev &#41;,India Pale Ale &#40; IPA &#41;,6.5
3,Gore Range Fly Fisher Red Ale,Gore Range Brewery,Amber Ale,
4,Naked Dove Nice & Naughty Christmas Ale,Naked Dove Brewing,Stout,5.5
5,10 Barrel Amber Waves of Grain,10 Barrel Brewing &#40; AB InBev &#41;,Amber Ale,5.8
6,Barley Station Bushwacker Brown,Barley Station Brewpub &#40; Shuswap Lake Brewing Co. &#41;,Brown Ale,4.7
7,Blackfoot River MacKenzie River Driftboat Amber,Blackfoot River Brewing,Amber Ale,5.5
8,Brewerie Apparition Amber Ale,The Brewerie at Union Station,Amber Ale,8
9,Battlefield Brew Works Red Circle Ale,Battlefield Brew Works,Irish Ale,5.2
10,3 Sheeps Rebel Kent The First - Red Wine Barrel,3 Sheeps Brewing Company,Belgian Ale,5
11,Esbjerg Mikrobryg Amber Ale,_ lgod Bryghus,,5
12,Red Duck Amber Ale,Purrumbete Brewing,Amber Ale,4.8
13,Big Rig Rideau Red,Big Rig Brewery,Amber Ale,5.2
14,Quimera Amber Ale,Casa Cervecera Quinta Normal,Amber Ale,5.7
15,People_s Aberrant Amber,People_s Brewing Company,Amber Ale,5.5
16,Northwest Chinook Copper Ale,Northwest Brewing Company,Amber Ale,5.3
17,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,,5.3
18,Mt. Shasta Abner Weed Amber Ale,Mt. Shasta Brewing Company,Amber Ale,5.5
19,Burley Oak Assawoman Amber,Burley Oak Brewing Company,Amber Ale,6.9
20,Catawba Valley Indian Head Red,Catawba Valley Brewing Company,Amber Ale,5
